audio,start,end,reference,w2v-bert-2.0-malagasy-asr__hyp,w2v-bert-2.0-malagasy-asr__conf
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00000_00000000_00004160.wav,0.0,4.16,"PDP, nou taray gana natan lewe, yina neto we community managera, exactement.",be dia be no taraiky any anatin'ilay hoe inona atao hoe kominisymanadraora egzak,0.853
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00001_00004680_00008600.wav,4.68,8.6,"Zava dhuit suwe, androan e mianatja te avaka tapapula natima afi an lias.",manko zavatra hoitsy hoe androany mianatra dia afaka tapa-bolanah dia mahafehan'ilay a,0.868
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00002_00008720_00012020.wav,8.72,12.02,"Ni salera nasi amazane, sa pe varie de 700 000 aryar lokalman,",asa nisalarana sema izany asa-peovariet e setso milary ary lokalim,0.729
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00003_00012140_00015000.wav,12.14,15.0,chiska min plus don zan kontra filans.,imao jisika mainy pilosy tanizany kontra filans,0.727
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00004_00015260_00018380.wav,15.26,18.38,"Tumadere, loun community management, zati t'avaka manon birak la kouy.",tsy madeha ieryaloha ny aominisy manadrmana satria tsy afaka anao mirakila koa,0.733
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00005_00020780_00024480.wav,20.78,24.48,"Sistem nisyo va tsuwe, resosio rir ni atok di manate na we a a zo rezultat.",sitem izyio atsyhoerezao soasao ry ny atako dia manan-tena hoe ahazo rezolta,0.68
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00006_00026700_00029620.wav,26.7,29.62,Eske te kapabl de m'aporti 5 000 euro monsuelmo?,o aizy keo dia kapabily de mamporite senkimiloro mansoelimo,0.856
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00007_00029620_00033440.wav,29.62,33.44,"Rifa ka pabla li ulla ma fida ni asanya te uminon falora umini,",limao rehefa kapabola ilay olona mahavita any asany dia omenao ny valoho ra omena iz,0.853
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00008_00033560_00036800.wav,33.56,36.8,an festismo wa noo inu linia ratara pinza avacha umini.,veismao anao iny olona iny raha tsara be ny zavatra omeny,0.838
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00009_00036880_00039120.wav,36.88,39.12,Su e ane kafa fon amensu ni duzak.,mity tsy hoe any an-kafafoana ny maitso ny bozaka,0.85
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00010_00039240_00042240.wav,39.24,42.24,Fa va ka mana amensu mbuzak azi imitio man mas no e no.,ozaka fa afaka manamaintso ny bozaka izay mitsy eo ambanin'ny masonao ian,0.912
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00011_00052520_00055200.wav,52.52,55.2,"anjon si ke de anjai tu fava viana krei,",androantsika dia andray tovovavy anankiray,0.919
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00012_00059900_00062120.wav,59.9,62.12,"avanyam na kartie Sho,",be avy any amin'ny ankardia soa,0.916
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00013_00062800_00065760.wav,62.8,65.76,ato matin ki uresan antiga mar margoku za eri fewa.,atao madinika ho resahantsika maromaro kokoa izay rehiva eo,0.944
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00014_00065760_00068860.wav,65.76,68.86,"Fondatrice dirijanta nyatoe le digital-la,",avy eo fondatrisy dirizanty ny atao hoe le dizitalina,0.875
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00015_00068920_00072980.wav,68.92,72.98,ariz i tena ma'atuk nante raga fa manan katou ni vevav,alona ary izy tena mahatoko tanteraka fa manan-katao ny vehivavy,0.898
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00016_00072980_00076840.wav,72.98,76.84,yao naten tutuln fanjarana si ni fanpfuar na ito Madagaskar.,vavy ao anatin'ny tontolon'ny fandrarana sy ny fampivoarana eto madagasikara,0.956
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00017_00076960_00079440.wav,76.96,79.44,"Ra ua txakambula, tsi manarka nayenoa,",tara raha ohatra ka mbola tsy manaraka anay ianao,0.916
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00018_00079440_00083740.wav,79.44,83.74,"ane na tutub de manasa nawa chan, fa prezonzei ane na tutub-tuba,",ao anyainatotiobo dia manasa anao hatrany fa pezana izahy aniainatotoby,0.832
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00019_00085580_00088960.wav,85.58,88.96,"efamis versyon audio yanku ni podcast-a tika,",oa efa misy versio aodio ihany koa ny podikasta antsika,0.896
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00020_00089160_00094540.wav,89.16,94.54,"mita noa ane nati YouTube audio, Apple podcast-a, Spotify, Deezer,",ika hitanao any anaty iotiob aodio apl podikasta spotifay dizera,0.907
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00021_00094540_00102800.wav,94.54,102.8,Ar man nom ksou de aksesiv la naiza-naiza maniratan ni podcast tanzana chan de ni mana parita kan kultur amalakasya manana panjarana.,r ary manomboka izao dia asesibila naizanaiza maneran-tany ny podikasta tanjana hatrany dia ny manaparitaka ny koltiora malagasy manana fandrarana,0.888
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00022_00102920_00107980.wav,102.92,107.98,Man pochaku eta madagaskyar ar misi ulla manantan leta mar ar yazo apisandjata na chan.,ana mampivoatra koa eto madagasikara ary misy olona manana talenta maro ary azo hampisondratana hatrany,0.928
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00023_00108040_00111360.wav,108.04,111.36,"Tunga su etam ni platoa njocha, Jocelyne, de falbeze, manjaya na bonjwanya.",any tongasoa tamin'ny platorany aotra rao solina dia faly be zahay anday anaha,0.633
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00024_00111640_00117060.wav,111.64,117.06,"Ya, makasi txeka njocha, njaya na anjwanya. Jocelyne, njaya mersuni, narakwa, panjarana.",ia mankasitraka ny aotra nandray ana androany rao sy lina andriamiatso ny anarako mpandraharaha,0.808
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00025_00117060_00121320.wav,117.06,121.32,"A, ma t'yanna mbreza ka komunikasyon digitala arian ku formatriz.",raha matihanina miresaka kominikasio dizitala ary ihany koa foromatrisy,0.916
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00026_00122160_00128419.wav,122.16,128.42,"Joselina eto mniocha, anjan t'iga ireza ka mbani tutulu ni serasera sini community management.",rasilina eto amin'ny aotra andrantsika hiresaka momba ny tontolon'ny serasera sy ny kmi,0.85
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00027_00128919_00135140.wav,128.92,135.14,"Ma ita karazanul manana volante pe, avu ma ita nofuts de inna nyombat kisa u.",mahita karazan'olona manana volante bea vao mahita anao fotsiny dia inona ny eo ambadik' izao,0.922
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00028_00135400_00140380.wav,135.4,140.38,"Volante alua, te tena mistko sa t'i, angama ni yamalikon se fanta ni noze,",volonte aloha dia tena misy tokoa satria angamba ny amaliko an'izay fanontanianao izay,0.926
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00029_00140500_00146560.wav,140.5,146.56,"te ita tarakel ni ndu wakuta naten l'ireza ka fanja arana, sa t'i, se mokle we volantezea.",aizay dia hita tarakely ny niandohako tanatin'ilay resaka fandraharana satria izay moaka ilay hoe volonte izay,0.9
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00030_00146560_00150760.wav,146.56,150.76,atotikewe kriteria afana mandruzo anaten tutulu fanjarana.,izay ataontsika hoe kritera ahafahana mandroso anatin'ny tontolon'ny fandraharana,0.952
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00031_00150860_00153580.wav,150.86,153.58,"Raiferi naka kel, nye tu fultona lasa,",ny raha hiverenako kely ny itoy folo taona lasa,0.844
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00032_00153580_00156400.wav,153.58,156.4,"zanweta mtona timiwe fulsuru arifta nuanya,",sa izany hoe taminy taona dimy ambinny folo sy roa arivo tany hoan,0.904
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00033_00156500_00159860.wav,156.5,159.86,"de zamu zani ulatan atotikewe pakartie,",any dia izaho moa izany ny olona atanady nataontsika hoe bakarsi,0.881
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00034_00161680_00165080.wav,161.68,165.08,"de anaten zan keto zania ato madingia le tejana,",dia anatin'izany ceto izany atao madinika ilay toerana,0.898
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00035_00165200_00169760.wav,165.2,169.76,"de yenowa refanatun tutuluwe tsi demisi ula,",rana dia ianao rehefa anatin'ny tontolo hoe tsy dia misy olona,0.932
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00036_00170420_00172780.wav,170.42,172.78,"panjarara mantitna nouna ulawe,",mpandraharaha manodidina anao na olona hoe ma,0.957
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00037_00172780_00178820.wav,172.78,178.82,"Manana tanzu na locha, ta fi txana txan ble, onfironmo, sem tarqia nomi, txam lala na samyafa.",bola hoe manana tanjona loatra dia tafiditra anatin'ilay anriromao izay mitarika anao mety amin'ny lalana samihafa,0.904
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00038_00179020_00185440.wav,179.02,185.44,"Te yo se folonte, zewe, folonte ano yansi, zano fa noma njuswa, refatewa non savachana kre,",dia io izay volonte izay hoe ny volaonte hanao ihany sisa nafahanao mandroso rehefa te hanao zavatra anankiray en,0.886
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00039_00185500_00191180.wav,185.5,191.18,"non se txin onfironmo, te anizan savachana kre, ma tungano we, achachan tanzu na zey txachar nou,",kiray ianao satria eo avy ranomao dia anisan'ny zavatra anankiray mahatonga anao ho atratrany tanjona izay tratrarinao,0.887
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00040_00191280_00196760.wav,191.28,196.76,"te zey anatun zey we, fide tavana, zey tutulun fanjaran zeya,",nao dia izay anatin'izay hoe fitadiavana asa izay tontolon'ny fandraharahana izay,0.934
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00041_00196760_00201380.wav,196.76,201.38,"sa barat fa idano an tavanan, te milan se discipline, zi folonte zey non,",izay zavatra tsy fahitana ao andavanandro dia mila izay disiplinina sy volonte izay ianao mba,0.923
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00042_00201380_00204860.wav,201.38,204.86,ba tunga nowa u tchacham nita nzono zei ti nowa tunga vana.,ianao mba ahatonga anao ho tratra amin'ny tanjona izay tianao atongavana,0.952
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00043_00204900_00207200.wav,204.9,207.2,"Tena nukatam ftona tezi non natsapa we,",ana dia nanomboka tamin'ny fotoana tay izy ianao nonahatsafa ho,0.903
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00044_00210940_00214380.wav,210.94,214.38,"Ra we nire zaka zazane atoku we,",izay raha hoe niresaka zaza ny ataoko hoe,0.925
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00045_00215340_00217920.wav,215.34,217.92,"nanana nzei shonsa zay anzachi we,",nananany izay ifomosa izay ihany satria hoe,0.911
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00046_00221180_00223480.wav,221.18,223.48,"tena we manana nyamp bea,",ary tsy dia tena hoe manana ny ampy be,0.879
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00047_00231380_00240080.wav,231.38,240.08,"Te tam sefton zea otne, nizaka ntzer puki, namak puki, ntadi nzavacha, ifelan nzavacha itaku masan.",dia tamin'izay fotoan'izay ohatran'ny hoe niezaka nijery boky namaky boky nianitadyn'ny zavatra ivelany ny zavatra hitako maso izany,0.918
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00048_00240220_00245020.wav,240.22,245.02,"Reba misona muzan larbi ari varen, te tsetena we mfokam la lomerakam nekizio atan anafa,",izany rehafa misy otona moa izany latrobe harivaireny dia tsy dia tena hoe ivakamilalo miaka amin'ny angizy o an-an,0.835
VERT_LE_POUVOIR_DU_DIGITAL_AU_FEMININ___le_monde_du_free-lance_malgache___JOSCELINE_LADIES_GITAL__1_00049_00245180_00251880.wav,245.18,251.88,"nizaka mandi biblioteki, nizaka nzir dokumenteram tele, eno manzir.",fa miezaka mandeha biblotaiky miezaka mijery dokomantaera amy tele amin'ny haino aman-jery,0.895
